,Channel,Compound,Date,Negative,Neutral,Positive,Tweet_Ago
200,@nytimes,0.4404,Sat Mar 10 05:02:08 +0000 2018,0.0,0.775,0.225,1
201,@nytimes,-0.6486,Sat Mar 10 04:52:19 +0000 2018,0.323,0.677,0.0,2
202,@nytimes,-0.6463,Sat Mar 10 04:47:04 +0000 2018,0.212,0.733,0.055,3
203,@nytimes,0.0,Sat Mar 10 04:32:06 +0000 2018,0.0,1.0,0.0,4
204,@nytimes,-0.1779,Sat Mar 10 04:21:07 +0000 2018,0.078,0.922,0.0,5
205,@nytimes,0.6369,Sat Mar 10 04:02:06 +0000 2018,0.0,0.819,0.181,6
206,@nytimes,0.7506,Sat Mar 10 03:47:04 +0000 2018,0.0,0.748,0.252,7
207,@nytimes,-0.4215,Sat Mar 10 03:32:02 +0000 2018,0.189,0.811,0.0,8
208,@nytimes,-0.4939,Sat Mar 10 03:17:02 +0000 2018,0.127,0.873,0.0,9
209,@nytimes,0.5574,Sat Mar 10 03:02:07 +0000 2018,0.0,0.841,0.159,10
210,@nytimes,0.0,Sat Mar 10 02:47:02 +0000 2018,0.0,1.0,0.0,11
211,@nytimes,0.0,Sat Mar 10 02:32:05 +0000 2018,0.0,1.0,0.0,12
212,@nytimes,0.0,Sat Mar 10 02:17:53 +0000 2018,0.0,1.0,0.0,13
213,@nytimes,0.0,Sat Mar 10 02:02:04 +0000 2018,0.0,1.0,0.0,14
214,@nytimes,0.0772,Sat Mar 10 01:47:04 +0000 2018,0.0,0.947,0.053,15
215,@nytimes,0.1139,Sat Mar 10 01:32:01 +0000 2018,0.0,0.9,0.1,16
216,@nytimes,0.0,Sat Mar 10 01:17:01 +0000 2018,0.0,1.0,0.0,17
217,@nytimes,0.4754,Sat Mar 10 01:02:03 +0000 2018,0.0,0.846,0.154,18
218,@nytimes,0.7096,Sat Mar 10 00:47:02 +0000 2018,0.0,0.718,0.282,19
219,@nytimes,0.0,Sat Mar 10 00:30:08 +0000 2018,0.0,1.0,0.0,20
220,@nytimes,0.4404,Sat Mar 10 00:17:01 +0000 2018,0.0,0.756,0.244,21
221,@nytimes,-0.0258,Sat Mar 10 00:02:06 +0000 2018,0.052,0.948,0.0,22
222,@nytimes,0.0,Fri Mar 09 23:47:06 +0000 2018,0.0,1.0,0.0,23
223,@nytimes,0.0,Fri Mar 09 23:32:04 +0000 2018,0.0,1.0,0.0,24
224,@nytimes,-0.8603,Fri Mar 09 23:17:01 +0000 2018,0.389,0.611,0.0,25
225,@nytimes,-0.1531,Fri Mar 09 23:02:07 +0000 2018,0.074,0.926,0.0,26
226,@nytimes,0.0,Fri Mar 09 22:51:04 +0000 2018,0.0,1.0,0.0,27
227,@nytimes,-0.6808,Fri Mar 09 22:43:02 +0000 2018,0.343,0.593,0.064,28
228,@nytimes,0.0,Fri Mar 09 22:28:04 +0000 2018,0.0,1.0,0.0,29
229,@nytimes,-0.1531,Fri Mar 09 22:11:55 +0000 2018,0.118,0.882,0.0,30
230,@nytimes,0.0,Fri Mar 09 22:06:06 +0000 2018,0.0,1.0,0.0,31
231,@nytimes,-0.296,Fri Mar 09 21:50:08 +0000 2018,0.135,0.779,0.086,32
232,@nytimes,0.0,Fri Mar 09 21:35:05 +0000 2018,0.0,1.0,0.0,33
233,@nytimes,0.0772,Fri Mar 09 21:20:09 +0000 2018,0.0,0.933,0.067,34
234,@nytimes,0.0,Fri Mar 09 21:05:02 +0000 2018,0.0,1.0,0.0,35
235,@nytimes,0.0,Fri Mar 09 20:55:03 +0000 2018,0.0,1.0,0.0,36
236,@nytimes,0.0,Fri Mar 09 20:45:13 +0000 2018,0.0,1.0,0.0,37
237,@nytimes,-0.34,Fri Mar 09 20:30:23 +0000 2018,0.118,0.882,0.0,38
238,@nytimes,0.128,Fri Mar 09 20:25:05 +0000 2018,0.059,0.856,0.086,39
239,@nytimes,-0.5859,Fri Mar 09 20:10:08 +0000 2018,0.211,0.789,0.0,40
240,@nytimes,0.0,Fri Mar 09 20:00:13 +0000 2018,0.0,1.0,0.0,41
241,@nytimes,0.5859,Fri Mar 09 19:50:08 +0000 2018,0.0,0.826,0.174,42
242,@nytimes,0.6124,Fri Mar 09 19:35:20 +0000 2018,0.0,0.762,0.238,43
243,@nytimes,0.4939,Fri Mar 09 19:30:33 +0000 2018,0.0,0.833,0.167,44
244,@nytimes,-0.4404,Fri Mar 09 19:18:10 +0000 2018,0.153,0.847,0.0,45
245,@nytimes,0.7845,Fri Mar 09 19:15:04 +0000 2018,0.0,0.753,0.247,46
